PopularName,SchoolId,Classification,ProperName,NickName,matches
grand haven,4180,A,grand haven hs,Buccaneers,"grand haven cyber school, grand haven high school"
coloma,4181,C,coloma hs,Comets,coloma high school
three rivers,4182,B,three rivers hs,Wildcats,three rivers high school
grand rapids northview,4183,A,northview hs,Wildcats,"covenant house academy grand rapids, grand blanc community high school"
cheboygan,4184,B,cheboygan area hs,Chiefs,"cheboygan area high school, cheboygan middle school"
detroit allen academy,4185,,allen academy hs,Wildcats,"academic and career education academy, academy 21"
mio,4186,D,mio-au sable hs,Thunderbolts,mioausable high school
edwardsburg,4187,B,edwardsburg hs,Eddies,"edwardsburg alternative learning center, edwardsburg high school"
rockford,4188,A,rockford hs,Rams,"rockford high school, rockford hs freshman center"
madison heights lamphere,4189,B,lamphere hs,Rams,"lamphere center, link learning grand rapids alger heights"
dearborn divine child,4190,B,divine child hs,Falcons,"dearborn heights virtual academy, dearborn newcomer college prep academy"
ortonville brandon,4191,B,brandon hs,Blackhawks,
unionville-sebewaing,4192,C,unionville sebewaing hs,Patriots,unionvillesebewaing high school
traverse city central,4193,A,traverse city central hs,Trojans,"battle creek central high school, bay city academy farragut campus"
saginaw,4194,B,saginaw hs,Trojans,"saginaw arts and sciences academy, saginaw correctional facility"
quincy,4195,B,quincy hs,Orioles,quincy high school
holly,4196,A,holly hs,Bronchos,holly high school
mount pleasant sacred heart,4197,D,sacred heart academy hs,Irish,mount clemens center for lifelong learning
imlay city,4198,B,imlay city hs,Spartans,"imlay city high school, bay city academy farragut campus"
flint carman-ainsworth,4199,A,carman-ainsworth hs,Cavaliers,international academy of flint k12
kinross maplewood baptist,4200,D,maplewood baptist academy,Black Bears,
au gres-sims,4201,D,augres-sims hs,Wolverines,au gressims high school
riverview gabriel richard,4202,C,gabriel richard hs,Pioneers,
caledonia,4203,A,caledonia hs,Fighting Scots,caledonia high school
lakeview,4204,C,lakeview hs,Wildcats,"lakeview alternative high school, lakeview high school"
whitehall,4205,B,whitehall hs,Vikings,whitehall senior high school
dearborn advanced tech academy,4206,B,advanced technology academy,Lakers,"54th street academy, academy 21"
pinckney,4207,B,pinckney hs,Pirates,pinckney community high school
dowagiac,4208,B,dowagiac union hs,Chieftains,
dearborn edsel ford,4209,A,edsel ford hs,Thunderbirds,"dearborn heights virtual academy, dearborn newcomer college prep academy"
livonia churchill,4210,A,churchill hs,Chargers,"churchill community ed center, livonia career technical center"
ithaca,4211,C,ithaca hs,Yellowjackets,ithaca high school
holton,4212,C,holton hs,Red Devils,"holton high school, holton virtual academy"
muskegon oakridge,4213,B,oakridge hs,Eagles,"muskegon area career tech center, muskegon community education center"
climax-scotts,4214,D,climax-scotts hs,Panthers,"climaxscotts high school, climaxscotts virtual academy"
grass lake,4215,C,grass lake hs,Warriors,"grass lake high school, ackerson lake community education"
detroit voyageur college prep,4216,B,voyageur college prep,Cougars,"voyageur college prep, academy of science math and technology early college high sc"
kinde north huron,4217,D,north huron hs,Warriors,"grosse pointe north high school, huron ai center frcs frhs program"
west bloomfield frankel jewish academy,4218,D,frankel jewish academy,Jaguars,"54th street academy, academy 21"
millington,4219,C,millington hs,Cardinals,millington high school
roseville calvary christian,4220,,calvary christian hs,Red Raiders,
livonia ladywood,4221,,ladywood hs,Blazers,livonia career technical center
detroit university prep,4222,B,university prep academy,Panthers,"covenant house academy detroit central site, covenant house academy detroit east site"
bloomingdale,4223,C,bloomingdale hs,Cardinals,bloomingdale middle and high school
ada forest hills eastern,4224,B,forest hills eastern hs,Hawks,mason county eastern junior highhigh school
memphis,4225,C,memphis hs,Yellowjackets,memphis juniorsenior high school
warren regina,4226,B,regina hs,Saddlelites,"warren consolidated community high school, warren mott high school"
central lake,4227,D,central lake hs,Trojans,"central lake public schools, ackerson lake community education"
byron center charter,4228,D,byron center charter school,Golden Eagles,"byron center charter school, allegan county area technical and education center"
saginaw heritage,4229,A,heritage hs,Hawks,"saginaw arts and sciences academy, saginaw correctional facility"
macomb l'anse creuse north,4230,A,l'anse creuse north hs,Crusaders,"high school north, macomb county juvenile justice center school"
dundee,4231,B,dundee hs,Vikings,dundee community high school
ontonagon,4232,D,ontonagon area hs,Gladiators,"gogebicontonagon isd special education, ontonagon area school"
battle creek calhoun christian,4233,D,calhoun christian school,Cougars,battle creek academy
blanchard montabella,4234,C,montabella hs,Mustangs,
westland john glenn,4235,A,john glenn hs,Rockets,john m schultz educational campus
inactive,4236,,northwestern hs,Colts,
royal oak shrine catholic,4237,C,shrine catholic hs,Knights,
ypsilanti willow run,4238,,willow run hs,Flyers,"birch run progressive high school, ypsilanti stemm middle college"
detroit catholic central,4239,A,detroit catholic central hs,Shamrocks,"central academy, central michigan correctional facility"
carleton airport,4240,B,airport hs,Jets,"airport center for education, airport senior high school"
brownstown woodhaven,4241,A,woodhaven hs,Warriors,
southgate aquinas,4242,,aquinas hs,Raiders,southgate anderson high school
detroit pentecostal christian,4243,,pentecostal christian academy,,"covenant house academy detroit southwest site, detroit collegiate preparatory high school at northwestern"
spring lake,4244,A,spring lake hs,Lakers,"spring lake alternative education, spring lake high school"
flint beecher,4245,C,beecher hs,Bucs,"flex high north flint, flint cultural center academy"
center line st clement,4246,,st clement hs,,"allegan county area technical and education center, apollo center"
flint kearsley,4247,A,kearsley hs,Hornets,"flex high north flint, flint cultural center academy"
kalamazoo hackett catholic prep,4248,C,hackett catholic prep,Irish,"hackett catholic prep, kalamazoo county juvenile home youth center school"
detroit winans academy,4249,,marvin l winans academy of performing arts,Saints,"academic and career education academy, academy 21"
waterford our lady of the lakes,4250,D,our lady of the lakes hs,Lakers,"academy of science math and technology early college high sc, alternative educational academy of iosco county"
saginaw arthur hill,4251,B,arthur hill hs,Lumberjacks,"hill center, saginaw arts and sciences academy"
alba,4252,D,alba hs,Wildcats,"alba school, localbased speced programs"
port huron,4253,A,port huron hs,Big Reds,"port huron high school, port huron northern high school"
almont,4254,B,almont hs,Raiders,almont high school
portage northern,4255,A,portage northern hs,Huskies,"portage northern high school, port huron northern high school"
swartz creek,4256,A,swartz creek hs,Dragons,"swartz creek high school, swartz creek virtual learning center"
detroit central,4257,C,detroit central hs,Trailblazers,"covenant house academy detroit central site, battle creek central high school"
reese,4258,C,reese hs,Rockets,reese high school
ida,4259,B,ida hs,Bluestreaks,ida high school
hopkins,4260,B,hopkins hs,Vikings,hopkins high school
lake leelanau st mary,4261,D,st mary hs,Eagles,"ackerson lake community education, houghton lake community education"
marion,4262,D,marion hs,Eagles,"marion d crouse instr center, marion high school"
onsted,4263,B,onsted hs,Wildcats,onsted community high school
detroit cass tech,4264,A,cass technical hs,Technicians,"cass city jr and sr high school, cass technical high school"
belding,4265,B,belding area hs,Black Knights,"belding high school, link learning belding"
atlanta,4266,D,atlanta hs,Huskies,atlanta community schools
berkley,4267,A,berkley hs,Bears,berkley high school
flat rock,4268,B,flat rock hs,Rams,"flat rock academic virtual academy 612, flat rock community high school"
rapid river,4269,D,rapid river hs,Rockets,"black river public school middlehigh, flat river academy"
birch run,4270,B,birch run hs,Panthers,"birch run high school, birch run progressive high school"
otsego,4271,B,otsego hs,Bulldogs,"otsego high school, otsego west campus high school"
detroit henry ford,4272,A,henry ford hs,Trojans,"covenant house academy detroit central site, covenant house academy detroit east site"
lake city,4273,C,lake city area hs,Trojans,"lake city high school, ackerson lake community education"
burton atherton,4274,C,atherton hs,Wolverines,"atherton jr sr high school, atherton vern van y educational center"
waterford mott,4275,A,waterford mott hs,Corsairs,"waterford mott high school, mott middle college high school"
reed city,4276,B,reed city hs,Coyotes,"reed city high school, bay city academy farragut campus"
hillsdale,4277,B,hillsdale hs,Hornets,"hillsdale high school, hillsdale workforce devtech center"
leslie,4278,C,leslie hs,Blackhawks,leslie high school
martin,4279,D,martin hs,Clippers,"martin high school, martin luther king jr senior high school"
howell,4280,A,howell hs,Highlanders,howell high school
walled lake central,4281,A,walled lake central hs,Vikings,"walled lake central high school, ackerson lake community education"
bangor,4282,C,bangor hs,Vikings,"bangor career academy, bangor high school"
potterville,4283,C,potterville hs,Vikings,potterville high school
canton,4284,A,canton hs,Chiefs,"canton high school, canton preparatory high school"
beal city,4285,C,beal city hs,Aggies,"beal city high school, bay city academy farragut campus"
dansville,4286,C,dansville hs,Aggies,dansville high school
west bloomfield,4287,A,west bloomfield hs,Lakers,"west bloomfield high school, mesivta of west bloomfield"
allen park,4288,A,allen park hs,Jaguars,"allen park community school, allen park high school"
durand,4289,B,durand area hs,Railroaders,durand area high school
lake linden-hubbell,4290,D,lake linden-hubbell hs,Lakes,"ackerson lake community education, gull lake virtual partnership"
muskegon orchard view,4291,B,orchard view hs,Cardinals,"center for success at pleasant view, muskegon area career tech center"
parma western,4292,A,western hs,Panthers,"bay city western high school, walled lake western high school"
