MHSAA_PopularName,SchoolId,Classification,MHSAA_Proper,NickName,NCES_Name,NCES_School_ID
flint northwestern,4164,,Flint Northwestern HS,Jaguars,"detroit collegiate preparatory high school at northwestern, flint cultural center academy",
kalamazoo central,4165,A,Kalamazoo Central HS,Maroon Giants,"kalamazoo central high school, battle creek central high school",
lake orion,4166,A,Lake Orion HS,Dragons,"lake orion community high school, lake orion baptist school",
marine city cardinal mooney,4167,D,Cardinal Mooney Catholic HS,Cardinals,city middlehigh,
eaton rapids,4168,B,Eaton Rapids HS,Greyhounds,"eaton rapids high school, big rapids high school",
port hope,4169,,Port Hope Community HS,Bluestars,"hope academic academy, hope academy of west michigan",
evart,4170,C,Evart HS,Wildcats,evart high school,
montague,4171,B,Montague HS,Wildcats,montague high school,
mattawan,4172,A,Mattawan HS,Wildcats,mattawan high school,
battle creek st philip,4173,D,St Philip Catholic Central HS,Fighting Tigers,"battle creek area learning center, bellamy creek correctional facility",
detour,4174,D,DeTour HS,Raiders,"detour arts and technology academy, detour high school",
hamtramck st florian,4175,,St Florian HS,Rockets,"st charles community middlehigh school, st clair county intervention academy",
ionia,4176,B,Ionia HS,Bulldogs,"ionia county career center, ionia high school",
grand rapids northpointe christian,4177,C,NorthPointe Christian HS,Mustangs,"big rapids high school, elk rapids high school",
detroit kettering,4178,,Kettering HS,Pioneers,"covenant house academy detroit central site, covenant house academy detroit east site",
detroit country day,4179,B,Detroit Country Day HS,Yellowjackets,"detroit country day school, detroit country day school",
grand haven,4180,A,Grand Haven HS,Buccaneers,"grand haven cyber school, grand haven high school",
coloma,4181,C,Coloma HS,Comets,coloma high school,
three rivers,4182,B,Three Rivers HS,Wildcats,three rivers high school,
grand rapids northview,4183,A,Northview HS,Wildcats,"covenant house academy grand rapids, grand blanc community high school",
cheboygan,4184,B,Cheboygan Area HS,Chiefs,"cheboygan area high school, cheboygan middle school",
detroit allen academy,4185,,Allen Academy HS,Wildcats,"academic and career education academy, academy 21",
mio,4186,D,Mio-Au Sable HS,Thunderbolts,mioausable high school,
edwardsburg,4187,B,Edwardsburg HS,Eddies,"edwardsburg alternative learning center, edwardsburg high school",
rockford,4188,A,Rockford HS,Rams,"rockford high school, rockford hs freshman center",
madison heights lamphere,4189,B,Lamphere HS,Rams,"lamphere center, link learning grand rapids alger heights",
dearborn divine child,4190,B,Divine Child HS,Falcons,"dearborn heights virtual academy, dearborn newcomer college prep academy",
ortonville brandon,4191,B,Brandon HS,Blackhawks,,
unionville-sebewaing,4192,C,Unionville Sebewaing HS,Patriots,unionvillesebewaing high school,
traverse city central,4193,A,Traverse City Central HS,Trojans,"battle creek central high school, bay city academy farragut campus",
saginaw,4194,B,Saginaw HS,Trojans,"saginaw arts and sciences academy, saginaw correctional facility",
quincy,4195,B,Quincy HS,Orioles,quincy high school,
holly,4196,A,Holly HS,Bronchos,holly high school,
mount pleasant sacred heart,4197,D,Sacred Heart Academy HS,Irish,mount clemens center for lifelong learning,
imlay city,4198,B,Imlay City HS,Spartans,"imlay city high school, bay city academy farragut campus",
flint carman-ainsworth,4199,A,Carman-Ainsworth HS,Cavaliers,international academy of flint k12,
kinross maplewood baptist,4200,D,Maplewood Baptist Academy,Black Bears,,
au gres-sims,4201,D,AuGres-Sims HS,Wolverines,au gressims high school,
riverview gabriel richard,4202,C,Gabriel Richard HS,Pioneers,,
caledonia,4203,A,Caledonia HS,Fighting Scots,caledonia high school,
lakeview,4204,C,Lakeview HS,Wildcats,"lakeview alternative high school, lakeview high school",
whitehall,4205,B,Whitehall HS,Vikings,whitehall senior high school,
dearborn advanced tech academy,4206,B,Advanced Technology Academy,Lakers,"54th street academy, academy 21",
pinckney,4207,B,Pinckney HS,Pirates,pinckney community high school,
dowagiac,4208,B,Dowagiac Union HS,Chieftains,,
dearborn edsel ford,4209,A,Edsel Ford HS,Thunderbirds,"dearborn heights virtual academy, dearborn newcomer college prep academy",
livonia churchill,4210,A,Churchill HS,Chargers,"churchill community ed center, livonia career technical center",
ithaca,4211,C,Ithaca HS,Yellowjackets,ithaca high school,
holton,4212,C,Holton HS,Red Devils,"holton high school, holton virtual academy",
muskegon oakridge,4213,B,Oakridge HS,Eagles,"muskegon area career tech center, muskegon community education center",
climax-scotts,4214,D,Climax-Scotts HS,Panthers,"climaxscotts high school, climaxscotts virtual academy",
grass lake,4215,C,Grass Lake HS,Warriors,"grass lake high school, ackerson lake community education",
detroit voyageur college prep,4216,B,Voyageur College Prep,Cougars,"voyageur college prep, academy of science math and technology early college high sc",
kinde north huron,4217,D,North Huron HS,Warriors,"grosse pointe north high school, huron ai center frcs frhs program",
west bloomfield frankel jewish academy,4218,D,Frankel Jewish Academy,Jaguars,"54th street academy, academy 21",
millington,4219,C,Millington HS,Cardinals,millington high school,
roseville calvary christian,4220,,Calvary Christian HS,Red Raiders,,
livonia ladywood,4221,,Ladywood HS,Blazers,livonia career technical center,
detroit university prep,4222,B,University Prep Academy,Panthers,"covenant house academy detroit central site, covenant house academy detroit east site",
bloomingdale,4223,C,Bloomingdale HS,Cardinals,bloomingdale middle and high school,
ada forest hills eastern,4224,B,Forest Hills Eastern HS,Hawks,mason county eastern junior highhigh school,
memphis,4225,C,Memphis HS,Yellowjackets,memphis juniorsenior high school,
warren regina,4226,B,Regina HS,Saddlelites,"warren consolidated community high school, warren mott high school",
central lake,4227,D,Central Lake HS,Trojans,"central lake public schools, ackerson lake community education",
byron center charter,4228,D,Byron Center Charter School,Golden Eagles,"byron center charter school, allegan county area technical and education center",
saginaw heritage,4229,A,Heritage HS,Hawks,"saginaw arts and sciences academy, saginaw correctional facility",
macomb l'anse creuse north,4230,A,L'Anse Creuse North HS,Crusaders,"high school north, macomb county juvenile justice center school",
dundee,4231,B,Dundee HS,Vikings,dundee community high school,
ontonagon,4232,D,Ontonagon Area HS,Gladiators,"gogebicontonagon isd special education, ontonagon area school",
battle creek calhoun christian,4233,D,Calhoun Christian School,Cougars,battle creek academy,00645876
blanchard montabella,4234,C,Montabella HS,Mustangs,,
westland john glenn,4235,A,John Glenn HS,Rockets,john m schultz educational campus,
inactive,4236,,Northwestern HS,Colts,,
royal oak shrine catholic,4237,C,Shrine Catholic HS,Knights,,
ypsilanti willow run,4238,,Willow Run HS,Flyers,"birch run progressive high school, ypsilanti stemm middle college",
detroit catholic central,4239,A,Detroit Catholic Central HS,Shamrocks,"central academy, central michigan correctional facility",
carleton airport,4240,B,Airport HS,Jets,"airport center for education, airport senior high school",
brownstown woodhaven,4241,A,Woodhaven HS,Warriors,,
southgate aquinas,4242,,Aquinas HS,Raiders,southgate anderson high school,
detroit pentecostal christian,4243,,Pentecostal Christian Academy,,"covenant house academy detroit southwest site, detroit collegiate preparatory high school at northwestern",
spring lake,4244,A,Spring Lake HS,Lakers,"spring lake alternative education, spring lake high school",
flint beecher,4245,C,Beecher HS,Bucs,"flex high north flint, flint cultural center academy",
center line st clement,4246,,St Clement HS,,"allegan county area technical and education center, apollo center",
flint kearsley,4247,A,Kearsley HS,Hornets,"flex high north flint, flint cultural center academy",
kalamazoo hackett catholic prep,4248,C,Hackett Catholic Prep,Irish,"hackett catholic prep, kalamazoo county juvenile home youth center school",
detroit winans academy,4249,,Marvin L Winans Academy of Performing Arts,Saints,"academic and career education academy, academy 21",
waterford our lady of the lakes,4250,D,Our Lady Of The Lakes HS,Lakers,"academy of science math and technology early college high sc, alternative educational academy of iosco county",
saginaw arthur hill,4251,B,Arthur Hill HS,Lumberjacks,"hill center, saginaw arts and sciences academy",
alba,4252,D,Alba HS,Wildcats,"alba school, localbased speced programs",
port huron,4253,A,Port Huron HS,Big Reds,"port huron high school, port huron northern high school",
almont,4254,B,Almont HS,Raiders,almont high school,
portage northern,4255,A,Portage Northern HS,Huskies,"portage northern high school, port huron northern high school",
swartz creek,4256,A,Swartz Creek HS,Dragons,"swartz creek high school, swartz creek virtual learning center",
detroit central,4257,C,Detroit Central HS,Trailblazers,"covenant house academy detroit central site, battle creek central high school",
reese,4258,C,Reese HS,Rockets,reese high school,
ida,4259,B,Ida HS,Bluestreaks,ida high school,
hopkins,4260,B,Hopkins HS,Vikings,hopkins high school,
lake leelanau st mary,4261,D,St Mary HS,Eagles,"ackerson lake community education, houghton lake community education",
marion,4262,D,Marion HS,Eagles,"marion d crouse instr center, marion high school",
onsted,4263,B,Onsted HS,Wildcats,onsted community high school,
detroit cass tech,4264,A,Cass Technical HS,Technicians,"cass city jr and sr high school, cass technical high school",
belding,4265,B,Belding Area HS,Black Knights,"belding high school, link learning belding",
atlanta,4266,D,Atlanta HS,Huskies,atlanta community schools,
berkley,4267,A,Berkley HS,Bears,berkley high school,
flat rock,4268,B,Flat Rock HS,Rams,"flat rock academic virtual academy 612, flat rock community high school",
rapid river,4269,D,Rapid River HS,Rockets,"black river public school middlehigh, flat river academy",
birch run,4270,B,Birch Run HS,Panthers,"birch run high school, birch run progressive high school",
otsego,4271,B,Otsego HS,Bulldogs,"otsego high school, otsego west campus high school",
detroit henry ford,4272,A,Henry Ford HS,Trojans,"covenant house academy detroit central site, covenant house academy detroit east site",
lake city,4273,C,Lake City Area HS,Trojans,"lake city high school, ackerson lake community education",
burton atherton,4274,C,Atherton HS,Wolverines,"atherton jr sr high school, atherton vern van y educational center",
waterford mott,4275,A,Waterford Mott HS,Corsairs,"waterford mott high school, mott middle college high school",
reed city,4276,B,Reed City HS,Coyotes,"reed city high school, bay city academy farragut campus",
hillsdale,4277,B,Hillsdale HS,Hornets,"hillsdale high school, hillsdale workforce devtech center",
leslie,4278,C,Leslie HS,Blackhawks,leslie high school,
martin,4279,D,Martin HS,Clippers,"martin high school, martin luther king jr senior high school",
howell,4280,A,Howell HS,Highlanders,howell high school,
walled lake central,4281,A,Walled Lake Central HS,Vikings,"walled lake central high school, ackerson lake community education",
bangor,4282,C,Bangor HS,Vikings,"bangor career academy, bangor high school",
potterville,4283,C,Potterville HS,Vikings,potterville high school,
canton,4284,A,Canton HS,Chiefs,"canton high school, canton preparatory high school",
beal city,4285,C,Beal City HS,Aggies,"beal city high school, bay city academy farragut campus",
dansville,4286,C,Dansville HS,Aggies,dansville high school,
west bloomfield,4287,A,West Bloomfield HS,Lakers,"west bloomfield high school, mesivta of west bloomfield",
